Cod Int;Descrição;Classificação;Soma de estoque_teorico;Soma de estoque_contado;Dif; Cst Med ; Total ;Observações
1621;CETOCONAZOL SHAMPOO 100ML (EMS);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP;3;3;0;R$ 24,69; R$ -   ;Ok
62886;CETOCONAZOL SHAMPOO 100ML (TEUTO);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ONE;1;1;0;R$ 13,83; R$ -   ;Ok
73313;CETOCONAZOL+BETAMET+NEOM CR 30G(EUR);PRINCIPAL > 2 - GENÉRICOS > GEN RX SEM ONE;3;3;0;R$ 7,13; R$ -   ;Ok
73301;CETOCONAZOL+BETAMET+NEOM POM 30G(EUR);PRINCIPAL > 2 - GENÉRICOS > GEN RX SEM ONE;5;5;0;R$ 8,77; R$ -   ;Ok
73334;CETOCONAZOL+BETAMETASONA CR 30G(EMS);PRINCIPAL > 2 - GENÉRICOS > GEN RX;2;2;0;R$ 7,36; R$ -   ;Ok
73306;CETOCONAZOL+BETAMETASONA CR 30G(EUR);PRINCIPAL > 2 - GENÉRICOS > GEN RX SEM ONE;1;1;0;R$ 6,89; R$ -   ;Ok
73331;CETOCONAZOL+BETAMETASONA POM 30G(EMS);PRINCIPAL > 2 - GENÉRICOS > GEN RX;2;2;0;R$ 6,97; R$ -   ;Ok
65592;CETOCORT N 20+0,64+2,5 MG/G POM 30 G;PRINCIPAL > 3 - SIMILARES > SIM RX SEM ONE;1;1;0;R$ 7,14; R$ -   ;Ok
65591;CETOCORT N CR DERM C/ 30 G;PRINCIPAL > 3 - SIMILARES > SIM RX SEM ONE;1;1;0;R$ 6,87; R$ -   ;Ok
1312;CETOCORT POM 30G;PRINCIPAL > 3 - SIMILARES > SIM RX SEM ONE;1;1;0;R$ 8,26; R$ -   ;Ok
