Cod Int;Descri��o;Classifica��o;Soma de estoque_teorico;Soma de estoque_contado;Dif; Cst Med ; Total ;Observa��es;
65751;CR DENT COLGATE MINIONS 100G;PRINCIPAL > 5 - PERFUMARIA > CUIDADO AO BEBE/INFANTIL > CREME DENTAL INFANTI;3;3;0;R$ 10,63; R$ -   ;Ok;
63680;CR DENT COLGATE PERIOGARD 90G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CREMES DENTAIS ADULT;2;2;0;R$ 21,85; R$ -   ;Ok;
70513;CR DENT COLGATE PERIOGARD HORT60G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CREMES DENTAIS ADULT;3;3;0;R$ 11,99; R$ -   ;Ok;
71056;CR DENT COLGATE SEN PRO ALIV GENG 60G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CREMES DENTAIS ADULT;3;3;0;R$ 10,76; R$ -   ;Ok;
67662;CR DENT COLGATE SENS PRO ALIV ORIG 140G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CREMES DENTAIS ADULT;2;2;0;R$ 14,81; R$ -   ;Ok;
57530;CR DENT COLGATE TANDY MORANGO 50G;PRINCIPAL > 5 - PERFUMARIA > CUIDADO AO BEBE/INFANTIL > CREME DENTAL INFANTI;5;5;0;R$ 6,56; R$ -   ;Ok;
57531;CR DENT COLGATE TANDY TUTTI FRUTTI 50G;PRINCIPAL > 5 - PERFUMARIA > CUIDADO AO BEBE/INFANTIL > CREME DENTAL INFANTI;1;1;0;R$ 7,11; R$ -   ;Ok;
57532;CR DENT COLGATE TANDY UVA  50G;PRINCIPAL > 5 - PERFUMARIA > CUIDADO AO BEBE/INFANTIL > CREME DENTAL INFANTI;2;2;0;R$ 7,14; R$ -   ;Ok;
67687;CR DENT COLGATE TOTAL12  ANTI T 140G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CREMES DENTAIS ADULT;7;7;0;R$ 11,95; R$ -   ;Ok;
57516;CR DENT COLGATE TOTAL12 ADVANCED 90G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CREMES DENTAIS ADULT;2;2;0;R$ 9,72; R$ -   ;Ok;
57524;CR DENT COLGATE TOTAL12 CLEAN MINT 90G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CREMES DENTAIS ADULT;139;140;1;R$ 7,42;R$ 7,42;Sobra Justificada;
57521;CR DENT COLGATE TOTAL12 WHITENING 90G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CREMES DENTAIS ADULT;2;1;-1;R$ 9,77;-R$ 9,77;Perda;
